product_id,category_id,seller_id,price,weight_grams,length_cm,photos_qty
prd_0000123,cat_040,sel_002100,64.42,242,116,1
prd_0000124,cat_017,sel_000754,80.8,107,101,7
prd_0000125,cat_039,sel_000338,33.6,326,40,7
prd_0000126,cat_016,sel_001831,36.93,457,66,5
prd_0000127,cat_004,sel_000569,129.91,16344,60,3
prd_0000128,cat_008,sel_001549,30.75,808,54,3
prd_0000129,cat_014,sel_001975,144.61,527,70,1
prd_0000130,cat_011,sel_000689,57.07,296,108,1
prd_0000131,cat_036,sel_000724,18.81,496,35,3
prd_0000132,cat_025,sel_000167,50.44,537,70,3
prd_0000133,cat_022,sel_000793,152.51,11919,15,3
prd_0000134,cat_018,sel_001538,97.65,792,66,2
prd_0000135,cat_014,sel_000411,59.89,262,17,5
prd_0000136,cat_023,sel_002370,97.21,512,104,3
prd_0000137,cat_005,sel_001799,60.57,849,50,7
prd_0000138,cat_006,sel_000525,100.5,606,34,7
prd_0000139,cat_011,sel_001357,43.46,266,32,6
prd_0000140,cat_006,sel_001004,24.37,903,38,6
prd_0000141,cat_025,sel_000978,106.51,719,66,5
prd_0000142,cat_001,sel_001435,15.86,554,47,2
prd_0000143,cat_006,sel_000292,118.81,400,17,2
prd_0000144,cat_038,sel_000554,121.02,995,31,4
prd_0000145,cat_042,sel_000391,72.13,242,85,6
prd_0000146,cat_017,sel_000463,38.08,275,44,4
prd_0000147,cat_018,sel_001644,85.83,415,26,2
prd_0000148,cat_032,sel_002487,37.66,697,76,1
prd_0000149,cat_002,sel_001632,26.42,303,13,2
prd_0000150,cat_015,sel_002454,36.67,456,79,7
prd_0000151,cat_004,sel_001484,594.17,12646,37,4
prd_0000152,cat_014,sel_000720,133.59,712,67,7
prd_0000153,cat_041,sel_002172,25.35,522,85,7
prd_0000154,cat_031,sel_000188,60.8,523,58,2
prd_0000155,cat_041,sel_000280,45.67,421,22,2
prd_0000156,cat_031,sel_002356,47.04,1034,88,4
prd_0000157,cat_023,sel_001629,111.6,834,95,7
prd_0000158,cat_031,sel_002307,61.24,819,40,2
prd_0000159,cat_025,sel_000346,50.71,406,78,4
prd_0000160,cat_016,sel_001942,76.79,464,13,3
prd_0000161,cat_010,sel_000608,34.14,761,43,1
prd_0000162,cat_019,sel_000869,51.84,447,102,4
prd_0000163,cat_009,sel_002239,53.82,377,19,5
prd_0000164,cat_017,sel_001062,29.68,693,47,5
prd_0000165,cat_005,sel_001678,22.09,311,110,5
prd_0000166,cat_022,sel_002210,224.6,4502,61,6
prd_0000167,cat_009,sel_002166,57.21,937,35,7
prd_0000168,cat_010,sel_000028,61.16,645,89,7
prd_0000169,cat_018,sel_000414,114.43,355,79,3
prd_0000170,cat_006,sel_002280,35.27,759,61,1
prd_0000171,cat_040,sel_001437,47.04,444,86,1
prd_0000172,cat_016,sel_001236,27.52,915,96,6
prd_0000173,cat_012,sel_000182,45.31,773,68,4
prd_0000174,cat_002,sel_000068,13.26,504,31,4
prd_0000175,cat_034,sel_002372,157.75,412,74,2
prd_0000176,cat_024,sel_001212,76.8,392,99,2
prd_0000177,cat_014,sel_001992,204.36,2190,42,4
prd_0000178,cat_009,sel_000568,56.84,190,15,2
prd_0000179,cat_031,sel_000612,34.86,248,74,4
prd_0000180,cat_039,sel_001435,9.17,1041,48,6
prd_0000181,cat_013,sel_002182,32.33,6231,100,3
prd_0000182,cat_005,sel_000735,12.26,718,77,4
prd_0000183,cat_004,sel_000820,259.62,5540,95,7
prd_0000184,cat_001,sel_001415,42.27,785,64,6
prd_0000185,cat_031,sel_000110,78.87,367,34,2
prd_0000186,cat_041,sel_000968,28.18,571,81,3
prd_0000187,cat_042,sel_001428,44.81,735,96,2
prd_0000188,cat_032,sel_000015,20.48,772,35,4
prd_0000189,cat_006,sel_001599,22.16,433,84,3
prd_0000190,cat_041,sel_000145,52.28,1140,116,2
prd_0000191,cat_011,sel_001796,27.77,900,57,4
prd_0000192,cat_011,sel_002017,22.01,371,39,4
prd_0000193,cat_026,sel_002088,18.18,472,63,4
prd_0000194,cat_002,sel_001685,13.64,410,57,3
prd_0000195,cat_034,sel_001435,149.89,581,66,5
prd_0000196,cat_042,sel_000767,24.63,821,84,2
prd_0000197,cat_032,sel_001077,36.56,237,95,1
prd_0000198,cat_032,sel_000250,48.53,222,90,1
prd_0000199,cat_013,sel_001777,19.65,2638,77,7
prd_0000200,cat_003,sel_000066,133.4,2950,83,2
prd_0000201,cat_032,sel_001067,35.73,675,103,1
prd_0000202,cat_023,sel_001296,93.18,1320,35,1
prd_0000203,cat_038,sel_001628,38.02,555,100,5
prd_0000204,cat_005,sel_000868,16.73,393,28,3
prd_0000205,cat_011,sel_001131,22.76,259,110,4
prd_0000206,cat_013,sel_001510,16.92,2642,70,6
prd_0000207,cat_025,sel_002291,65.81,440,106,2
prd_0000208,cat_032,sel_001679,49.74,178,115,2
prd_0000209,cat_040,sel_000647,8.63,394,12,3
prd_0000210,cat_011,sel_002107,8.85,392,69,4
prd_0000211,cat_018,sel_000151,113.33,606,49,4
prd_0000212,cat_002,sel_000689,14.26,587,30,7
prd_0000213,cat_009,sel_000292,43.7,704,51,1
prd_0000214,cat_013,sel_001139,25.39,1777,77,6
prd_0000215,cat_023,sel_001596,46.81,340,85,3
prd_0000216,cat_017,sel_001358,17.96,953,19,7
prd_0000217,cat_013,sel_002017,41.42,3514,72,3
prd_0000218,cat_024,sel_001450,120.11,916,76,1
prd_0000219,cat_034,sel_000605,132.68,559,118,4
prd_0000220,cat_009,sel_001373,33.77,658,33,6
prd_0000221,cat_011,sel_001832,18.1,781,78,4
prd_0000222,cat_027,sel_001290,9.62,2649,96,1
prd_0000223,cat_032,sel_001129,43.94,429,72,7
prd_0000224,cat_034,sel_001353,66.2,427,33,6
prd_0000225,cat_008,sel_001405,21.63,577,103,7
prd_0000226,cat_020,sel_000774,87.9,6662,24,7
prd_0000227,cat_038,sel_002119,58.48,489,96,5
prd_0000228,cat_014,sel_000534,140.49,1068,112,4
prd_0000229,cat_015,sel_000092,31.78,1439,27,7
prd_0000230,cat_041,sel_001850,11.78,386,78,1
prd_0000231,cat_005,sel_002094,7.9,1086,63,3
prd_0000232,cat_028,sel_001608,144.98,29732,89,3
prd_0000233,cat_034,sel_001201,65.87,725,119,3
prd_0000234,cat_005,sel_002429,19.88,561,35,2
prd_0000235,cat_028,sel_000945,56.71,55188,87,4
prd_0000236,cat_016,sel_001043,154.83,713,112,2
prd_0000237,cat_034,sel_001521,32.82,504,12,5
prd_0000238,cat_038,sel_001095,119.5,486,98,6
prd_0000239,cat_037,sel_001426,149.15,329,16,5
prd_0000240,cat_002,sel_002416,18.8,450,28,5
prd_0000241,cat_031,sel_000613,59.13,1104,90,5
prd_0000242,cat_039,sel_000386,16.75,1031,107,3
prd_0000243,cat_023,sel_001073,34.22,435,95,2
prd_0000244,cat_023,sel_001291,94.85,346,30,3
prd_0000245,cat_002,sel_001781,20.95,965,100,2
prd_0000246,cat_035,sel_002380,22.33,743,41,4
prd_0000247,cat_002,sel_001729,23.29,223,42,3
prd_0000248,cat_011,sel_002463,14.28,2532,97,4
prd_0000249,cat_039,sel_000617,38.75,603,98,4
prd_0000250,cat_040,sel_000538,19.13,1404,96,5
prd_0000251,cat_041,sel_000764,47.31,654,119,3
prd_0000252,cat_017,sel_001995,47.07,356,37,5
prd_0000253,cat_007,sel_000492,140.29,661,73,5
prd_0000254,cat_017,sel_000512,55.75,288,72,4
prd_0000255,cat_004,sel_001063,301.82,14084,75,5
prd_0000256,cat_037,sel_000793,145.64,348,118,2
prd_0000257,cat_022,sel_001621,54.99,4514,36,3
prd_0000258,cat_014,sel_002216,57.05,679,30,5
prd_0000259,cat_003,sel_000362,101.35,1738,33,6
prd_0000260,cat_014,sel_001400,76.57,289,20,4
prd_0000261,cat_036,sel_000251,29.54,434,10,3
prd_0000262,cat_027,sel_000573,16.93,1303,44,1
prd_0000263,cat_003,sel_000771,96.83,2046,33,1
prd_0000264,cat_006,sel_001491,55.27,664,114,6
prd_0000265,cat_014,sel_001426,74.85,333,26,5
prd_0000266,cat_004,sel_001608,289.41,30295,45,3
prd_0000267,cat_039,sel_002034,32.58,757,82,6
prd_0000268,cat_024,sel_000495,91.78,569,80,4
prd_0000269,cat_004,sel_001860,316.31,11838,14,5
prd_0000270,cat_032,sel_001675,15.71,436,66,4
prd_0000271,cat_013,sel_000230,17.81,2695,116,2
prd_0000272,cat_009,sel_000870,74.25,1079,32,6
prd_0000273,cat_022,sel_000074,105.29,5735,111,4
prd_0000274,cat_001,sel_000254,27.88,355,103,6
prd_0000275,cat_016,sel_000721,73.99,1147,44,6
prd_0000276,cat_034,sel_000615,85.96,573,52,3
prd_0000277,cat_039,sel_002242,37.18,378,110,1
prd_0000278,cat_011,sel_002231,26.7,1611,73,7
prd_0000279,cat_024,sel_001487,38.9,347,62,7
prd_0000280,cat_008,sel_001830,16.66,397,63,7
prd_0000281,cat_022,sel_002499,145.71,5000,104,1
prd_0000282,cat_009,sel_001058,94.58,704,24,3
prd_0000283,cat_022,sel_001342,56.55,3431,85,2
prd_0000284,cat_006,sel_001633,50.84,198,14,5
prd_0000285,cat_039,sel_002283,57.58,609,20,5
prd_0000286,cat_037,sel_002017,74.96,355,26,6
prd_0000287,cat_011,sel_000177,58.41,501,88,4
prd_0000288,cat_032,sel_001780,31.16,400,103,5
prd_0000289,cat_004,sel_000641,234.4,8725,80,5
prd_0000290,cat_031,sel_000649,35.78,525,54,7
prd_0000291,cat_010,sel_001401,22.47,437,98,4
prd_0000292,cat_005,sel_001737,8.34,394,40,1
prd_0000293,cat_025,sel_000419,59.44,972,94,6
prd_0000294,cat_016,sel_000784,87.37,364,82,2
prd_0000295,cat_019,sel_001789,52.09,528,90,7
prd_0000296,cat_019,sel_000400,58.04,588,40,7
prd_0000297,cat_002,sel_002109,35.93,257,81,6
prd_0000298,cat_002,sel_001169,29.03,343,30,3
prd_0000299,cat_023,sel_001510,65.02,588,104,5
prd_0000300,cat_024,sel_000233,84.56,577,19,7
prd_0000301,cat_002,sel_002377,8.98,404,95,3
prd_0000302,cat_013,sel_002259,22.19,3948,75,2
prd_0000303,cat_023,sel_000503,71.03,685,90,5
prd_0000304,cat_024,sel_001664,58.89,804,17,7
prd_0000305,cat_034,sel_002017,78.57,837,23,6
prd_0000306,cat_014,sel_000328,61.07,1098,46,3
prd_0000307,cat_021,sel_001486,16.74,2110,116,6
prd_0000308,cat_022,sel_002109,254.26,2496,60,7
prd_0000309,cat_011,sel_001297,28.75,517,106,1
prd_0000310,cat_002,sel_002292,15.74,318,44,6
prd_0000311,cat_001,sel_000135,11.01,915,68,5
prd_0000312,cat_034,sel_002281,25.63,1192,57,4
prd_0000313,cat_007,sel_002434,215.56,598,109,2
prd_0000314,cat_024,sel_000411,64.45,1072,54,6
prd_0000315,cat_022,sel_001097,168.31,8640,69,4
prd_0000316,cat_014,sel_001560,42.22,698,42,7
prd_0000317,cat_034,sel_002229,67.42,780,70,6
prd_0000318,cat_027,sel_000420,15.17,5624,74,3
prd_0000319,cat_001,sel_000837,27.12,298,102,7
prd_0000320,cat_032,sel_002017,47.0,679,69,3
prd_0000321,cat_019,sel_001058,47.49,791,52,1
prd_0000322,cat_012,sel_001549,29.64,292,76,1
prd_0000323,cat_029,sel_001435,50.66,20812,89,3
prd_0000324,cat_026,sel_002422,7.59,1036,42,2
prd_0000325,cat_011,sel_000368,12.94,1040,98,1
prd_0000326,cat_041,sel_002356,34.59,736,49,6
prd_0000327,cat_024,sel_001442,83.34,373,108,6
prd_0000328,cat_023,sel_002254,143.69,318,50,1
prd_0000329,cat_003,sel_000319,107.75,1427,78,2
prd_0000330,cat_010,sel_001607,40.6,850,43,6
prd_0000331,cat_016,sel_002089,35.33,786,41,1
prd_0000332,cat_024,sel_001994,81.02,1410,22,1
prd_0000333,cat_019,sel_000030,47.76,513,96,1
prd_0000334,cat_032,sel_001158,39.29,501,61,6
prd_0000335,cat_009,sel_000308,69.28,602,20,5
prd_0000336,cat_027,sel_000401,21.49,1963,38,4
prd_0000337,cat_034,sel_001773,40.25,1271,81,1
prd_0000338,cat_032,sel_002385,64.76,529,90,5
prd_0000339,cat_032,sel_001593,44.36,680,87,4
prd_0000340,cat_037,sel_000280,149.61,901,113,2
prd_0000341,cat_003,sel_000615,257.75,1029,106,2
prd_0000342,cat_027,sel_000968,35.07,4020,51,1
prd_0000343,cat_040,sel_000331,10.04,597,53,5
prd_0000344,cat_022,sel_002107,143.09,8142,35,5
prd_0000345,cat_008,sel_000510,17.28,602,92,2
prd_0000346,cat_042,sel_000338,98.74,143,89,2
prd_0000347,cat_007,sel_001804,167.47,376,72,2
prd_0000348,cat_011,sel_000331,29.11,283,88,7
prd_0000349,cat_006,sel_001059,46.16,1572,79,6
prd_0000350,cat_016,sel_001326,104.58,1217,98,1
prd_0000351,cat_014,sel_000232,50.47,204,85,1
prd_0000352,cat_018,sel_001427,107.37,362,73,7
prd_0000353,cat_039,sel_001236,18.99,300,27,1
prd_0000354,cat_017,sel_001678,21.65,668,65,2
prd_0000355,cat_019,sel_000567,49.96,372,91,6
prd_0000356,cat_037,sel_000901,235.03,525,116,2
prd_0000357,cat_034,sel_001655,74.46,301,20,2
prd_0000358,cat_009,sel_000098,60.1,744,37,5
prd_0000359,cat_001,sel_000311,24.23,259,117,2
prd_0000360,cat_024,sel_000720,57.93,2097,118,5
prd_0000361,cat_034,sel_000291,78.69,1272,25,1
prd_0000362,cat_021,sel_000108,25.18,6917,41,7
prd_0000363,cat_008,sel_002463,12.58,812,118,4
prd_0000364,cat_031,sel_001167,69.94,1306,18,4
prd_0000365,cat_025,sel_001366,135.69,937,37,3
prd_0000366,cat_022,sel_000649,70.71,3025,111,4
prd_0000367,cat_036,sel_000022,21.28,498,54,6
prd_0000368,cat_032,sel_001888,88.66,741,100,7
prd_0000369,cat_025,sel_001801,46.41,1067,72,1
prd_0000370,cat_025,sel_002421,78.18,598,40,4
prd_0000371,cat_025,sel_000058,460.22,791,62,7
prd_0000372,cat_019,sel_000357,95.58,508,76,6
prd_0000373,cat_016,sel_001778,84.43,488,87,1
prd_0000374,cat_028,sel_000824,83.96,14374,64,7
prd_0000375,cat_023,sel_000175,103.61,748,84,2
prd_0000376,cat_018,sel_000746,79.21,469,24,2
prd_0000377,cat_005,sel_000251,8.17,315,50,1
prd_0000378,cat_027,sel_002086,22.24,2602,93,2
prd_0000379,cat_024,sel_002186,97.39,691,94,6
prd_0000380,cat_011,sel_001596,16.39,837,99,2
prd_0000381,cat_012,sel_000989,94.56,547,63,2
prd_0000382,cat_009,sel_001944,107.13,1023,73,4
prd_0000383,cat_040,sel_001589,27.01,1264,78,1
prd_0000384,cat_035,sel_002013,17.47,519,20,3
prd_0000385,cat_022,sel_001312,46.6,8136,87,4
prd_0000386,cat_014,sel_002389,59.83,429,34,5
prd_0000387,cat_030,sel_000741,101.29,1304,77,2
prd_0000388,cat_019,sel_001549,24.9,374,105,2
prd_0000389,cat_040,sel_002017,25.51,389,18,5
prd_0000390,cat_002,sel_002231,31.77,482,47,2
prd_0000391,cat_002,sel_002354,7.79,1616,93,4
prd_0000392,cat_022,sel_001018,106.38,3848,21,7
prd_0000393,cat_007,sel_001749,86.77,497,62,1
prd_0000394,cat_023,sel_000741,64.04,647,90,7
prd_0000395,cat_032,sel_001626,24.28,310,24,7
prd_0000396,cat_005,sel_000489,32.49,645,116,7
prd_0000397,cat_016,sel_001072,44.57,833,30,2
prd_0000398,cat_026,sel_002283,6.95,1259,87,4
prd_0000399,cat_034,sel_002017,41.71,1157,34,1
prd_0000400,cat_018,sel_001276,132.51,719,54,3
prd_0000401,cat_008,sel_000382,31.16,536,107,5
prd_0000402,cat_023,sel_001026,51.65,552,118,6
prd_0000403,cat_016,sel_000362,103.8,735,76,6
prd_0000404,cat_032,sel_000193,52.43,586,32,2
prd_0000405,cat_021,sel_002256,10.71,1911,16,4
prd_0000406,cat_010,sel_001262,50.43,376,86,1
prd_0000407,cat_031,sel_000252,83.54,839,98,6
prd_0000408,cat_019,sel_001791,68.04,696,52,6
prd_0000409,cat_007,sel_000209,78.68,411,86,1
prd_0000410,cat_022,sel_001020,279.97,10527,33,7
prd_0000411,cat_040,sel_000604,13.85,665,66,2
prd_0000412,cat_028,sel_000432,52.4,14719,21,6
prd_0000413,cat_011,sel_001366,21.75,962,100,5
prd_0000414,cat_028,sel_001794,57.71,21431,102,5
prd_0000415,cat_010,sel_001253,35.34,488,94,6
prd_0000416,cat_020,sel_002036,72.96,4553,11,2
prd_0000417,cat_019,sel_002280,145.69,923,65,1
prd_0000418,cat_009,sel_002017,80.43,582,62,6
prd_0000419,cat_012,sel_002385,43.61,817,91,5
prd_0000420,cat_039,sel_002308,13.42,273,93,5
prd_0000421,cat_009,sel_002070,40.25,345,12,6
prd_0000422,cat_033,sel_000741,29.93,609,110,6
prd_0000423,cat_025,sel_000463,32.06,417,65,1
prd_0000424,cat_019,sel_001806,212.07,541,19,2
prd_0000425,cat_005,sel_002102,17.59,871,50,2
prd_0000426,cat_007,sel_002040,47.03,401,89,3
prd_0000427,cat_007,sel_001611,94.92,415,35,4
prd_0000428,cat_023,sel_002064,50.95,633,66,5
prd_0000429,cat_040,sel_001777,15.79,207,60,4
prd_0000430,cat_037,sel_001669,42.86,992,49,1
prd_0000431,cat_001,sel_000131,21.85,640,53,3
prd_0000432,cat_009,sel_001183,21.52,628,71,4
prd_0000433,cat_006,sel_000095,42.66,458,30,7
prd_0000434,cat_040,sel_000260,13.14,846,82,2
prd_0000435,cat_009,sel_001386,44.61,553,119,1
prd_0000436,cat_007,sel_000134,62.01,1107,92,4
prd_0000437,cat_023,sel_002269,74.17,255,15,6
prd_0000438,cat_021,sel_001151,45.1,2064,55,4
prd_0000439,cat_008,sel_001752,41.33,612,102,6
prd_0000440,cat_025,sel_000384,117.83,701,86,2
prd_0000441,cat_004,sel_002107,250.59,30261,92,3
prd_0000442,cat_001,sel_001226,28.15,303,81,7
prd_0000443,cat_003,sel_001432,157.29,746,18,5
prd_0000444,cat_013,sel_001626,33.0,3352,89,7
prd_0000445,cat_040,sel_001383,13.72,232,47,5
prd_0000446,cat_021,sel_001439,43.13,6337,13,2
prd_0000447,cat_031,sel_001864,33.38,956,77,2
prd_0000448,cat_011,sel_002017,14.5,777,78,2
prd_0000449,cat_028,sel_000764,48.05,44373,27,4
prd_0000450,cat_040,sel_002287,23.38,1132,92,3
prd_0000451,cat_012,sel_000894,27.65,441,91,1
prd_0000452,cat_042,sel_000689,35.89,500,51,3
prd_0000453,cat_024,sel_000779,52.13,711,48,6
prd_0000454,cat_031,sel_000905,50.18,466,106,4
prd_0000455,cat_009,sel_000793,36.7,377,25,1
prd_0000456,cat_024,sel_002099,78.48,460,82,3
prd_0000457,cat_019,sel_001435,61.22,726,86,3
prd_0000458,cat_040,sel_002419,25.63,946,36,1
prd_0000459,cat_038,sel_000242,67.59,317,37,3
prd_0000460,cat_014,sel_001558,142.37,545,67,3
prd_0000461,cat_040,sel_000264,20.13,584,48,4
prd_0000462,cat_037,sel_001177,48.89,299,20,6
prd_0000463,cat_023,sel_000979,66.38,750,57,4
prd_0000464,cat_003,sel_001708,134.8,1421,90,2
prd_0000465,cat_006,sel_001868,37.12,375,57,5
prd_0000466,cat_003,sel_000615,264.26,1178,92,2
prd_0000467,cat_004,sel_000507,272.78,19602,96,7
prd_0000468,cat_041,sel_001072,27.74,978,74,5
prd_0000469,cat_008,sel_000615,38.13,711,81,4
prd_0000470,cat_027,sel_001693,11.32,9077,17,2
prd_0000471,cat_024,sel_001330,107.65,1047,103,5
prd_0000472,cat_024,sel_002054,98.34,790,27,1
prd_0000473,cat_008,sel_002442,37.27,422,94,1
prd_0000474,cat_022,sel_000965,155.81,8802,94,5
prd_0000475,cat_024,sel_002266,55.65,408,113,6
prd_0000476,cat_022,sel_001972,60.72,7263,46,7
prd_0000477,cat_007,sel_000388,75.54,176,48,3
prd_0000478,cat_029,sel_002083,41.93,6249,37,5
prd_0000479,cat_003,sel_001239,53.4,745,73,5
prd_0000480,cat_023,sel_001777,45.38,519,33,3
prd_0000481,cat_016,sel_001760,47.06,277,102,7
prd_0000482,cat_009,sel_002209,34.8,608,82,2
prd_0000483,cat_033,sel_001921,35.56,757,99,6
prd_0000484,cat_007,sel_002045,110.11,433,62,7
prd_0000485,cat_039,sel_000795,30.55,511,99,3
prd_0000486,cat_037,sel_002422,106.39,669,21,4
prd_0000487,cat_013,sel_001662,31.99,3906,57,4
prd_0000488,cat_011,sel_001959,18.97,1177,78,1
prd_0000489,cat_005,sel_002133,35.3,425,63,2
prd_0000490,cat_039,sel_000331,11.37,784,91,3
prd_0000491,cat_024,sel_000843,67.6,683,18,5
prd_0000492,cat_002,sel_002083,11.82,271,98,6
